tweet_id	created_at	text
540003748760674305	2014-12-03 04:45:01	'RT @IOMCwC: CCCM #Guiuan doing preparation meeting for typhoon #Hagupit #commisaid http://t.co/pSnfy7BGmK'
540003786811793408	2014-12-03 04:45:10	'PAGASA: Typhoon #Hagupit is expected to enter PAR by Thursday morning, upon which it will be assigned the name Ruby. http://t.co/GhNYo1Nw6Y'
540003796986773504	2014-12-03 04:45:12	'@aprilenerio @PanahonTV I vote for #Hagupit Scenario #2!\n\nIf only it works that way...'
540003870131232769	2014-12-03 04:45:30	'@TheVampsJames can I see your name on my followers list before Hagupit take my life?'
540003980076527619	2014-12-03 04:45:56	'RT @iamMJae: @aprilenerio @PanahonTV I vote for #Hagupit Scenario #2!\n\nIf only it works that way...'
540004133265104897	2014-12-03 04:46:32	'@EarthUncutTV Hi James...so as of the moment, the likely scenario is a landfall in Central Philippines for #Hagupit by weekend ?'
540004277863731200	2014-12-03 04:47:07	'RT @dost_pagasa: WEATHER ADVISORY NO. 2\n\nFOR: TYPHOON RUBY (INTERNATIONAL NAME “HAGUPIT”)\nISSUED AT: 11:00 AM, 03 DECEMBER 2014... http://t…'
540004375112843264	2014-12-03 04:47:30	RT @IMReadyPH: UPDATE: Joint Typhoon Warning Center's forecast track for Typhoon #Hagupit. as of 11:00 AM (Manila time), Dec. 3, '14 http:/…
540004410894454784	2014-12-03 04:47:39	'RT @redcross143: .@philredcross: It is important to be prepared. Always have a first aid kit on hand.  http://t.co/enYLYLhBCK #RubyPH #Hagu…'
540004462031421440	2014-12-03 04:47:51	'Scary..\nHagupit enters Phl tomorrow   @PhilstarNews http://t.co/nK6SfLBJ5t via @sharethis http://t.co/qR2rNJmrOa'
540004462933204992	2014-12-03 04:47:51	"'""@EarthUncutTV: @betseykilayko right now southern Luzon is in JMA\'s storm warning area so a small chance exists it could hit Luzon"" #Hagupit'"
540004464841986048	2014-12-03 04:47:51	'RT @EarthUncutTV: Current multi-agency forecast consensus for #typhoon #Hagupit #RubyPH image courtesy typhoon2000.ph http://t.co/TPYSv3oEm4'
540004523452792833	2014-12-03 04:48:05	RT @EarthUncutTV: Morning all - here's the latest 5 day forecast track for #typhoon #Hagupit #RubyPH from JMA (Japan) http://t.co/ntj8ZbEV0d
540004553832529920	2014-12-03 04:48:13	'#typhoon #Yap #Palau #Philippines: 1300 ChST 3 Dec 14 NWS Guam forecast track, Typhoon #Hagupit (22W). http://t.co/D79lagclQl #RubyPH #22W'
540004569430757376	2014-12-03 04:48:16	'#Hagupit heading towards #Philippines, expected to make landfall this weekend. @OCHAAsiaPac monitoring the situation. http://t.co/FPzRoMiN4o'
540004575227301889	2014-12-03 04:48:18	'Typhoon Hagupit Advisory &amp; Status\nhttp://t.co/QiJk4USmUc\nTyphoon Preparedness Guide\n#hagupit #ceburepublic #cebu'
540004650737364992	2014-12-03 04:48:36	'Will @MARoxas do a Tacloban when #RubyPH #Hagupit strikes the Philippines? Silence.'
540004725748273152	2014-12-03 04:48:54	'PAGASA Advisory: Typhoon #Hagupit is expected to enter PAR Thursday morning.'
