tweet_id	created_at	text
540468093877633024	2014-12-04 11:30:09	"'RT @EXOs_littledeer: ""@RJRamoss: All we need is god! Let\'s pray! 🙏 #RubyPH""'"
540468152325263362	2014-12-04 11:30:23	'RT @DepEd_PH: LAPU-LAPU CITY | #walangpasok Classes in ALL LEVELS are suspended tomorrow, Dec. 5, 2014 | via @cebugovph http://t.co/msACq5H…'
540468188203343873	2014-12-04 11:30:32	'RT @techtalkscebu: RT @ancalerts: Typhoon Ruby has max. winds of 205kph near the center &amp; gustiness of up to 240kph #RubyPH'
540468079365345281	2014-12-04 11:30:06	'Be safe everyone! #RubyPH'
540468137146073088	2014-12-04 11:30:19	'RT @perverttnarry: #RubyPH this is scaring me tho like srsly'
540468217039581185	2014-12-04 11:30:39	'#GVSPph we are in need of volunteers(oncall) for our disaster relief operations for typhoon #RubyPH. Please do... http://t.co/2w50jb2xd7'
540468176195436544	2014-12-04 11:30:29	'Preparedness Coordination Meeting: #YPDR distributed construction gear among other orgs for aid. #RubyPH #Hagupit http://t.co/Il45JW6vfH'
540468069152595968	2014-12-04 11:30:03	'LeAnn Rimes and Mariah Carey Show Off Their Curves for Christmas Tree ... »http://t.co/rONKO8hoyH« #celebrity #RubyPH'
540468214984364032	2014-12-04 11:30:38	'RT @DepEd_PH: MASBATE CITY | #walangpasok Classes in ALL LEVELS are suspended tomorrow, Dec. 5, 2014 | via @LGUMasbateCity http://t.co/sz5f…'
540468135325757442	2014-12-04 11:30:19	'RUBY WHY NOT GO TO A NONEXISTENT PLACE AND STOP YOUR LOVE FOR LEYTE AND ALL WE HATE YOU #RUBYPH'
540468148843991041	2014-12-04 11:30:22	"'RT @MissKhteAshly_: ""Go home, my people, and lock your doors! Hide yourselves for a little while until the LORD’S anger has passed."" -Isaia…'"
540468068544024576	2014-12-04 11:30:03	'RT @Chanyeoliebby: #RubyPH All we need is prayers and faith. Keep safe everyone!'
540468289755815936	2014-12-04 11:30:56	'Please  #RubyPH Calma ka lang please.. T.T #TRBinManila'
540468027792580608	2014-12-04 11:29:53	'#walangpasok • LAPU-LAPU CITY: Classes in ALL LEVELS are suspended tomorrow, December 5, 2014, due to #RubyPH. | via @cebugovph'
540468129936052225	2014-12-04 11:30:18	RT @Awsomsauce_Luke: I'm so scared bc #RubyPH like wtf i gotta gather all the damn food and eat it all
540468004954206208	2014-12-04 11:29:48	RT @RealLiamPaynePH: Prayer is our biggest weapon. Let's all be prepared. #RubyPH http://t.co/Gv3v2zcu9B
540468258055286784	2014-12-04 11:30:48	'There will be a super typhoon approaching our country. Please pray for the safety of everyone. #RubyPH #PrayForThePhilippines'
540468085547757568	2014-12-04 11:30:07	'@aaenaaa @NovakIndiaFans @No1likeNole @livewire89 ...experienced another super typhoon,#Hagupit.Landfall is on Saturday, Strong as #Haiyan😭'
540468072704798722	2014-12-04 11:30:04	'Let us all pray for the following areas under public storm signal no 1. #RubyPH #Typhoon http://t.co/Vm2M1TKWWx'
540468085790998528	2014-12-04 11:30:07	'RT @CEnterTechNews: Typhoon #RubyPH Storm Signal on Affected Areas December 4 Updates|=&gt;http://t.co/6vHgX7LsPz http://t.co/pgw0S9bWiE'
540468028148699136	2014-12-04 11:29:53	'RT @TeamLouis1DPH: Be alert and always pray. STAY SAFE EVERYONE! #RubyPH'
540468008448032768	2014-12-04 11:29:49	'RT @anthonywx: Still trying to nail down track. But here is my best guess. Possible humanitarian disaster. #Hagupit/#RubyPH http://t.co/f9u…'
540468154661486592	2014-12-04 11:30:24	'RT @MSantosINQ: Comparison map of Yolanda track in 2013 and forecast track of #RubyPH Read: http://t.co/jgSie6lNKs @inquirerdotnet http://t…'
540468142724894720	2014-12-04 11:30:21	"'Message from ICM staff ""We are on standby here in Iloilo ready to respond. We have stocks of food packs in our warehouse."" #hagupit #RubyPH'"
540468080413908993	2014-12-04 11:30:06	'RT @daniellaPadill9: Stay safe My little Homies out there\n\n#RubyPH'
540468212341567488	2014-12-04 11:30:37	'RT @raffymagno: Areas that could be affected by Typhoon Ruby. #Hagupit #RubyPH http://t.co/7SZrDqSWfq'
540468020598931456	2014-12-04 11:29:52	'RT @weatherchannel: JUST IN: Super #Typhoon #Hagupit now a ferocious 180mph cyclone. Could reach land by weekend: http://t.co/nCOjkek3KF ht…'
540468167105998848	2014-12-04 11:30:27	#RubyPH we don't want u.. please come out :(
540468242956177408	2014-12-04 11:30:45	'Be safe and stay safe Pilipinas... 🙏🙏🙏 #Hagupit #RubyPH http://t.co/2GqRCVJoFc'
540468225264582656	2014-12-04 11:30:40	'RT @NARRYXSHINE: STAY SAFE TO ALL FILO DIRECTIONERS OUT THERE!😊😊💕\n\nPRAY HARDER GUYS🙏🙏🙏\n\n#MTVStars One Direction\n#RubyPH http://t.co/ONp5EwD…'
540468229697576960	2014-12-04 11:30:42	'Rain rain go away please! #RubyPH \nMay #Paskuhan2014 pa eh!!!!!!!!'
540468002857033728	2014-12-04 11:29:47	'#paasaFeelsAgain\nanticipating for #walangpasok announcements. LOL'
540468249733783552	2014-12-04 11:30:46	'RT @cebugovph: We are prepared for you #RubyPH ! #CebuIsReady via @VECO_Cebu http://t.co/b2LZydo9Mg'
540468088110452736	2014-12-04 11:30:08	RT @mickshantong: Nalulungkot ako for Yolanda survivors, after oner year heto they'll be facing another challenge #RubyPH , December pa man…
540468142124724224	2014-12-04 11:30:21	"'RT @MissKhteAshly_: ""Go home, my people, and lock your doors! Hide yourselves for a little while until the LORD’S anger has passed."" -Isaia…'"
540468209397166080	2014-12-04 11:30:37	'“@CBNAsia: Let us all pray for the following areas under public storm signal no 1. #RubyPH #Typhoon http://t.co/Bb1XgI7hVO” 🙏'
540468051485806593	2014-12-04 11:29:59	"'""@gmanews: Typhoon #RubyPH to bear down on 19 areas in Visayas, Luzon http://t.co/6xAPn6zyNC http://t.co/dZMjKmJaNS"" keep safe everyone'"
