tweet_id, user_id
'593613980750360576','1469065850'
'593613981333487616','35418009'
'593613981970890753','104565685'
'593613983342415872','152086156'
'593613984298700801','1118473981'
'593613986878259200','2881525538'
'593613988509810688','3154776895'
'593613989889835008','18723501'
'593613992041402368','795554378'
'593613992037371904','107206450'
'593613993383579648','2736821612'
'593613996038598657','465602380'
'593613995577352193','133608475'
'593613997712101376','2361919069'
'593613997213093888','704976138'
'593613998819532801','848590800'
'593614001407434752','2980509147'
'593614000644063233','1564643305'
'593614002523013120','876116665'
'593614002539745280','909706764'
'593614002300669953','1874031632'
'593614004930498560','242993398'
'593614005396189184','174481769'
'593614005723275264','36327407'
'593614007853920256','2644159405'
'593614011234721792','599910617'
'593614012819984386','505989249'
'593614012778151936','713063848'
'593614013272969216','2503014470'
'593614013625307136','1199529234'
'593614013721772032','145973833'
'593614014027997184','2371039628'
'593614014548082689','3009291984'
'593614015013715968','118219163'
'593614016855040002','481540774'
'593614018041917440','144042771'
'593614019639975936','1110714798'
'593614020244074496','15631727'
'593614020730466304','44551682'
'593614021149884418','220298263'
'593614021984673792','2980509147'
'593614023645466624','76022298'
'593614024392114176','2167997648'
'593614023859564544','1627355678'
'593614026392903680','216922843'
'593614026761842689','1029606499'
'593614026460004352','68717375'
'593614027378458624','76269509'
'593614029106618369','2316114955'
'593614029546856448','230604250'
'593614029085519872','20960229'
'593614028552962049','43557178'
'593614030549295104','32706864'
'593614031312723969','2855543347'
'593614032084475904','2366476580'
'593614032638193665','377880314'
'593614032969592832','122747941'
'593614034412285954','539948131'
'593614034559053824','2309553390'
'593614035276398592','135907692'
'593614036077391874','1206146154'
'593614037033754624','2503014470'
'593614037327294464','2849931399'
'593614037880938496','2449940097'
'593614038203928578','408066577'
'593614039349092352','3223012774'
'593614041953669120','127790650'
'593614045162307584','384544511'
'593614045707522048','2540947693'
'593614047301369856','3138562238'
'593614047947268096','330191903'
'593614047821451264','300146770'
'593614049671155712','3171669566'
'593614051910889472','931397858'
'593614052112248833','193546550'
'593614051986411521','739293'
'593614052082974720','1618769948'
'593614052636499968','2369554129'
'593614052951085056','265814274'
'593614054213570560','1209557634'
'593614055077650433','296434354'
'593614057795522560','2942029428'
'593614061755080704','43557178'
'593614061910261760','631948386'
'593614061880741888','442890214'
'593614061939490818','109535426'
'593614062149218304','3177940028'
'593614063478931456','1862112360'
'593614063562784769','48389713'
'593614063277613056','842205306'
'593614065852788736','147994804'
'593614065865347072','2352977106'
'593614066473705472','542875558'
'593614067475943424','3071021648'
'593614067748708352','3056108149'
'593614068310790144','2938563945'
'593614068541448192','107918374'
'593614069963231232','146739934'
'593614072068747265','1428367897'
'593614075118034944','2237688590'
'593614077924122625','2641873466'
'593614078557454336','2709328610'
'593614079153037314','1355737556'
'593614079840792577','3112154058'
'593614080180490241','580539178'
'593614082764181505','34498125'
'593614087910625281','2436976608'
'593614088950841344','109535426'
'593614090272165888','2384659146'
'593614094080413696','263021647'
'593614093803778048','82407830'
'593614094244052992','2713541911'
'593614094327918593','274198419'
'593614095040925697','2409772952'
'593614095221399554','1278717012'
'593614095842082816','87985823'
'593614099570761728','3154776895'
'593614099281391616','2381467639'
'593614100736802817','448744998'
'593614102414503936','2668718807'
'593614102540341248','1518440059'
'593614105405095937','144150729'
'593614107267334145','98074829'
'593614111113609217','435547945'
'593614112149479425','3130429961'
'593614112526970880','356703893'
'593614113324019712','2377948911'
