tweet_id	created_at	text
508332152073625601	2014-09-06 19:13:24	'@asmashirazi Damage caused by FLOODS z 1000 folds more than shown in Media. Please help them as much as u can. Plz spread message.'
508332154271461376	2014-09-06 19:13:24	'RT @Assam_24X7: Assam govt is throwing money down the drain in the name of flood management - Tehelka http://t.co/SdaCW9R6Rv'
508332173532073985	2014-09-06 19:13:29	"Wait till bay get dressed I'm gone flood y'all TL."
508332177608568832	2014-09-06 19:13:30	'@HannanSaleem My friends are stuck in the flood as well &amp; am praying for well being. Be kind.'
508332184613027840	2014-09-06 19:13:31	'Please take a little time and pray for Pakistan. which are suffering from deadly flood.  Over a 100 passed away!... http://t.co/7dJCJlc0ov'
508332198714294272	2014-09-06 19:13:35	'Sat Sep 06 2014 19:13:35 GMT+0000 (UTC) - Modis Flood Map Server processed 2-day composite Tile: 020E030N Date: 2014-249'
508332237591293952	2014-09-06 19:13:44	"@vediloves1d kashmir and im terrified tbh there's flood and all and the level of the river keeps rising pls pray for us"
508332247867355136	2014-09-06 19:13:46	'She can def flood the gram today cause man 😩'
508332247900901376	2014-09-06 19:13:46	'RT @ibnlive: NCMC meets to review Jammu and Kashmir flood situation http://t.co/dO4eczSVBK'
508332273280622592	2014-09-06 19:13:52	"Wild Audience Member Gets Up and Joins The Georgia Flood in 'Born To Be Wild' @... http://t.co/N73zbmARjY http://t.co/gavEi3B3mZ"
508332276032487426	2014-09-06 19:13:53	'@xTheVisionary @Courtneyyx17 @Ein_Death @TrayofPandas ein alone floods my twitter, cant handle more'
508332291190689792	2014-09-06 19:13:57	"Sports, festivals, floods and more in today's best #photos around the world http://t.co/7Z0DmhyTrh via @azcentral http://t.co/0mZikUsuJI"
508332314561376256	2014-09-06 19:14:02	'RT @WeeJudiee: #ExplainAFilmPlotBadly man builds big boat and saves some animals to escape a huge flood.'
508332338988601344	2014-09-06 19:14:08	'BBC News - Deadly floods in India and Pakistan http://t.co/XR4Q6ImpqV'
508332340817719296	2014-09-06 19:14:09	'Had to flood my shit real quick back to the streets I guess'
508332342176677888	2014-09-06 19:14:09	'Drainage work to tackle flood risk. Motorists going through Bearsden Cross have faced some long... http://t.co/UYrZ4ofUwW'
508332342717325312	2014-09-06 19:14:09	'RT @SankarshanT: So now we have patriotic floods and anti national floods, and patriotic disasters and anti national disasters. #Tragic #Ka…'
508332350187397120	2014-09-06 19:14:11	'Selecting high loving colocation frame flood cause yours dofunny: GkhdF'
508332364867829760	2014-09-06 19:14:14	'Nobody wants to help build the ship, but when the flood comes they wanna ride 😂💯👌🙅 #crewship'
508332370202591232	2014-09-06 19:14:16	'Srinagar flood 1903 as seen from above Drugjan near Dalgate in Srinagar. #kashmirfloods http://t.co/WKA0Mwwvqb'
508332371192467456	2014-09-06 19:14:16	'#flood #disaster Jammu and Kashmir flood tolls climbs up to 160, Rajnath Singh assures help - Economic Times: ... http://t.co/rJHdAQJ6z6'
508332372069064704	2014-09-06 19:14:16	'#flood #disaster Pakistan floods: monsoon rains cause dozens of deaths - ABC Online: Pakistan floods: monsoon ... http://t.co/uWAtqwsa0A'
